Rickshaw Carry                                        | Compound  | Forearms    | Other         | Strongman             | Beginner     | 9.6 | Dumbbell farmer's walk                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.\n Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.\n
Back Flyes - With Bands                               | Compound  | Shoulders   | Bands         | Strength              | Beginner     | 8.1 | Standing cable rear delt row                  | Dumbbell Lying Rear Lateral Raise                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Run a band around a stationary post like that of a squat rack.\n Grab the band by the handles and stand back so that the tension in the band rises.\n Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position.\n As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides.\n After a pause, go back to the original position as you inhale.\n Repeat for the recommended amount of repetitions.\n
Ab Crunch Machine                                     | Isolation | Abdominals  | Machine       | Strength              | Intermediate | 8   | Toe Touchers                                  | Feet-elevated crunch                                  | Kneeling cable crunch                               | -                                       | -                             | -                        | -                        | -                   | -                     | Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.\n At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet.\n After a second pause, slowly return to the starting position as you breathe in.\n Repeat the movement for the prescribed amount of repetitions.\n\nCaution:\n\n For this exercise, always select a weight that you can easily handle as using too much weight can easily lead to injury.\n
Alternating heel-touch                                | Isolation | Abdominals  | Body Only     | Strength              | Intermediate | 8   | Feet-elevated oblique crunch                  | Knees tucked crunch                                   | Cross-Body Crunch                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.\n Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement.\n Now go back slowly to the starting position as you inhale.\n Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition.\n Continue alternating sides in this manner until all prescribed repetitions are done.\n
Wall ball toss                                        | Compound  | Quadriceps  | Exercise Ball | Plyometrics           | Intermediate | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand with your feet shoulder width apart, facing a wall, and holding a medicine ball at your chest. Keep your shoulders back and keep your chest up high. Stand 3 to 5 feet from the wall. This will be your staring position.\n Descend into a squat by pushing your hips and butt backwards. Continue down until the upper legs are at or just below parallel to the floor. Inhale as you perform this portion of the movement.\n Drive through your heels to ascend. As you begin to drive upwards, push the medicine ball up towards the wall by fully extending the arms. Aim to throw the ball to a height of 10 to 12 feet.\n Catch the ball and return to the starting position. Immediately begin the next repetition.\n Repeat for recommended number of repetitions\n
Smith Machine Incline Bench Press                     | Compound  | Chest       | Machine       | Strength              | Intermediate | 8   | Incline dumbbell bench press                  | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place an incline bench underneath the smith machine. Place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Once the weight you need is selected, lie down on the incline bench and make sure your upper chest is aligned with the barbell. Using a pronated grip (palms facing forward) that is wider than shoulder width, unlock the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.\n As you breathe in, come down slowly until you feel the bar on your upper chest.\n After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up.\n Repeat the movement for the prescribed amount of repetitions.\n When you are done, place the bar back in the rack.\n\nCaution: If you are new at this exercise, it is advised that you use a spotter as this exercise can be a bit challenging. If no spotter is available, then be conservative with the amount of weight used.\n\nSame as the Barbell Incline Bench Press but with a Smith Machine.
Machine Shoulder (Military) Press                     | Compound  | Shoulders   | Barbell       | Strength              | Intermediate | 8   | Smith machine shoulder press                  | Barbell Shoulder Press                                | Seated dumbbell shoulder press                      | -                                       | -                             | -                        | -                        | -                   | -                     | Sit down on the Shoulder Press Machine and select the weight.\n Grab the handles to your sides as you keep the elbows bent and in line with your torso. This will be your starting position.\n Now lift the handles as you exhale and you extend the arms fully. At the top of the position make sure that you hold the contraction for a second.\n Lower the handles slowly back to the starting position as you inhale.\n Repeat for the recommended amount of repetitions.\n
Fire Hydrant                                          | Isolation | Abductors   | Body Only     | Strength              | Beginner     | 8   | Thigh abductor                                | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position yourself on your hands and knees on the ground. This will be your starting position.\n Keeping the knee in a bent position, abduct the femur, moving your knee away from the midline of the body.\n Pause at the top of the motion, and then slowly return to the starting position.\n Perform this slowly for a number of repetitions, and repeat on the other side.\n
Cuban press                                           | Compound  | Shoulders   | Dumbbell      | Strength              | Intermediate | 8   | Dumbbell external shoulder rotation           | Bradford/Rocky Presses                                | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Take a dumbbell in each hand with a pronated grip in a standing position. Raise your upper arms so that they are parallel to the floor, allowing your lower arms to hang in the "scarecrow" position. This will be your starting position.\n To initiate the movement, externally rotate the shoulders to move the upper arm 180 degrees. Keep the upper arms in place, rotating the upper arms until the wrists are directly above the elbows, the forearms perpendicular to the floor.\n Now press the dumbbells by extending at the elbows, straightening your arms overhead.\n Return to the starting position as you breathe in by reversing the steps.\n Repeat for the recommended amount of repetitions.\n\nVariation: You can also use a barbell.
Reverse Flyes With External Rotation                  | Isolation | Shoulders   | Dumbbell      | Strength              | Beginner     | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | To begin, lie down on an incline bench set at a 30-degree angle with the chest and stomach pressing against the incline.\n Have the dumbbells in each hand with the palms facing down to the floor. Your arms should be in front of you so that they are perpendicular to the angle of the bench. Tip: Your elbows should have a slight bend. The legs should be stationary while applying pressure with the ball of your toes (your heels should not be touching the floor). This is the starting position.\n Maintaining the slight bend of the elbows, move the weights out and away from each other in an arc motion while exhaling.\n As you lift the weight, your wrist should externally rotate by 90-degrees so that you go from a palms down (pronated) grip to a palms facing each other (neutral) grip. Tip: Try to squeeze your shoulder blades together to get the best results from this exercise.\n The arms should be elevated until they are level with the head.\n Feel the contraction and slowly lower the weights back down to the starting position while inhaling.\n Repeat for the recommended amount of repetitions.\n
Hanging wind sprint                                   | Compound  | Abdominals  | Unknown       | Strength              | Intermediate | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Hang from a pull-up bar using a pronated grip. Your arms and legs should be extended. This will be your starting position.\n Begin by quickly raising one knee as high as you can. Do not swing your body or your legs.3\n Immediately reverse the motion, returning that leg to the starting position. Simultaneously raise the opposite knee as high as possible.\n Continue alternating between legs until the set is complete.\n
Windmills                                             | Isolation | Abductors   | Body Only     | Stretching            | Intermediate | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie on your back with your arms extended out to the sides and your legs straight. This will be your starting position.\n Lift one leg and quickly cross it over your body, attempting to touch the ground near the opposite hand.\n Return to the starting position, and repeat with the opposite leg. Continue to alternate for 10-20 repetitions.\n
Bent-arm barbell pull-over                            | Isolation | Lats        | Barbell       | Strength              | Intermediate | 8   | Straight-arm dumbbell pull-over               | Bent-arm dumbbell pull-over                           | Wide-Grip Decline Barbell Pullover                  | -                                       | -                             | -                        | -                        | -                   | -                     | Lie on a flat bench with a barbell using a shoulder grip width.\n Hold the bar straight over your chest with a bend in your arms. This will be your starting position.\n While keeping your arms in the bent arm position, lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest.\n At that point, bring the barbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement.\n Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.\n
Sphinx push-up                                        | Isolation | Chest       | Body Only     | Strength              | Intermediate | 8   | Push-Ups - Close Triceps Position             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Assume a plank position on the ground. You should be supporting your body weight on your toes and forearms keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.\n Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.\n Slowly lower your forearms back to the ground by allowing the elbows to flex. Repeat for the desired number of repetitions.\n
Smith Machine Close-Grip Bench Press                  | Isolation | Chest       | Machine       | Strength              | Intermediate | 8   | Close-grip bench press                        | One Arm Floor Press                                   | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place a flat bench underneath the smith machine. Place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Once the weight you need is selected, lie down on the flat bench. Using a close and pronated grip (palms facing forward) that is around shoulder width, unlock the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.\n As you breathe in, come down slowly until you feel the bar on your middle chest. Tip: Make sure that as opposed to a regular bench press, you keep the elbows close to the torso at all times in order to maximize triceps involvement.\n After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your triceps muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up.\n Repeat the movement for the prescribed amount of repetitions.\n When you are done, lock the bar back in the rack.\n\nCaution: If you are new at this exercise, it is advised that you use a spotter as this exercise can be a bit challenging. If no spotter is available, then be conservative with the amount of weight used.\n
Palms-out incline biceps curl                         | Isolation | Biceps      | Dumbbell      | Strength              | Beginner     | 8   | Alternating incline dumbbell biceps curl      | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Hold a dumbbell in each hand and lie back on an incline bench.\n The dumbbells should be at arm's length hanging at your sides and your palms should be facing out. This will be your starting position.\n Now as you exhale curl the weight outward and up while keeping your forearms in line with your side deltoids. Continue the curl until the dumbbells are at shoulder height and to the sides of your deltoids. Tip: The end of the movement should look similar to a double biceps pose.\n After a second contraction at the top of the movement, start to inhale and slowly lower the weights back to the starting position using the same path used to bring them up.\n Repeat for the recommended amount of repetitions.\n
Alternating Cable Shoulder Press                      | Compound  | Shoulders   | Cable         | Strength              | Beginner     | 8   | Seated dumbbell shoulder press                | Kettlebell Seated Press                               | Kettlebell thruster                                 | -                                       | -                             | -                        | -                        | -                   | -                     | Move the cables to the bottom of the tower and select an appropriate weight.\n Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position.\n Keeping your head and chest up, extend through the elbow to press one side directly over head.\n After pausing at the top, return to the starting position and repeat on the opposite side.\n
Rocket Jump                                           | Isolation | Quadriceps  | Body Only     | Plyometrics           | Beginner     | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin in a relaxed stance with your feet shoulder width apart and hold your arms close to the body.\n To initiate the move, squat down halfway and explode back up as high as possible.\n Fully extend your entire body, reaching overhead as far as possible. As you land, absorb your impact through the legs.\n
Yoke Walk                                             | Compound  | Quadriceps  | Other         | Strongman             | Beginner     | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | The yoke is usually done with a yoke apparatus, but is sometimes seen with refrigerators or other heavy objects.\n Begin by racking the apparatus across the back of the shoulders. With your head looking forward and back arched, lift the yoke by driving through the heels.\n Begin walking as quickly as possible using short, quick steps. You may hold the side posts of the yoke to help steady it and hold it in position. Continue for the given distance as fast as possible, usually 75-100 feet.\n
Romanian Deadlift with Kettlebell                     | Compound  | Hamstrings  | Kettlebells   | Strength              | Beginner     | 8   | Barbell stiff-legged deadlift                 | Stiff-Legged Dumbbell Deadlift                        | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin in a standing position with a kettlebell held with both hands. Ensure that your back is straight and stays that way for the duration of the exercise. Allow your arms to hang perpendicular to the floor, with the wrists pronated and the elbows pointed to your sides. This will be your starting position.\n Initiate the movement by flexing your hips, slowly pushing your butt as far back as you can. This should entail a horizontal movement of the hips, rather than a downward movement. The knees should only partially bend, and your weight should remain on your heels. Drive your butt back as far as you can, which should generate tension in your hamstrings as your hands approach knee level. Maintain an arch in your back throughout the exercise.\n When your hips cannot perform any further backward movement, pause, and then slowly return to the starting position by extending the hips.\n
Smith machine leg press                               | Isolation | Quadriceps  | Machine       | Strength              | Intermediate | 8   | Leg Press                                     | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position a Smith machine bar a couple feet off of the ground. Ensure that it is resting on the safeties. After loading the bar to an appropriate weight, lie underneath the bar. Place the middle of your feet on the bar, tucking your knees to your chest. This will be your starting position.\n Begin the movement by driving through your feet to move the bar upward, extending the hips and knees. Do not lock out your knees.\n At the top of the motion, pause briefly before returning to the starting position.\n
Jefferson Squats                                      | Isolation | Quadriceps  | Barbell       | Strength              | Beginner     | 8   | Dumbbell squat                                | Weighted Squat                                        | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place a barbell on the floor.\n Stand in the middle of the bar length wise.\n Bend down by bending at the knees and keeping your back straight and grasp the front of the bar with your right hand. Your palm should be in (neutral grip) facing the left side.\n Grasp the rear of the bar with your left hand. The palm of your hand should be in neutral grip alignment (palms facing the right side). Tip: Ensure that your grip is even on the bar. Your torso should be positioned right in the middle of the bar and the distance between your torso and your right hand (which should be at the front) should be the same as the distance between your torso and your left hand (which should be to your back).\n Now stand straight up with the weight. Tip: Your feet should be shoulder width apart and your toes slightly pointed out.\n Squat down by bending at the knees and keeping your back straight until your upper thighs are parallel with the floor. Tip: Keep your back as vertical as possible with the floor and your head up. Also remember to not let your knees go past your toes. Inhale during this portion of the movement.\n Now drive yourself back up to the starting position by pushing with the feet . Tip: Keep the bar hanging at arm's length and your elbows locked with a slight bend. The arms only serve as hooks. Avoid doing any lifting with them. Do the lifting with your thighs; not your arms.\n
Single-arm low cable triceps extension                | Compound  | Triceps     | Cable         | Strength              | Intermediate | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Grab a single handle with your left arm next to the low pulley machine. Turn away from the machine keeping the handle to the side of your body with your arm fully extended. Now use both hands to elevate the single handle directly above the head with the palm facing forward. Keep your upper arm completely vertical (perpendicular to the floor) and put your right hand on your left elbow to help keep it steady. This is the starting position.\n Keeping your upper arms close to your head (elbows in) and perpendicular to the floor, lower the resistance in a semicircular motion behind your head until your forearms touch your biceps. Tip: The upper arms should remain stationary and only the forearms should move. Breathe in as you perform this step.\n Go back to the starting position by using the triceps to raise the single handle. Breathe out as you perform this step.\n Repeat for the recommended amount of repetitions.\n Switch arms and repeat the exercise.\n\nVariation: Another way to perform this exercise is to use the end of a rope attachment.
Smith machine straight-legged hip raise               | Compound  | Abdominals  | Machine       | Strength              | Intermediate | 8   | Reverse crunch                                | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position a bench in the rack and load the bar to an appropriate weight. Lie down on the bench, placing the bottom of your feet against the bar. Unlock the bar and extend your legs. You may need to use your hands to assist you. For added stability grasp the sides of the Smith Machine. This will be your starting position.\n Initiate the movement by rotating your pelvis, flexing your spine to raise your hips off of the bench. Maintain a slight bend in the knees throughout the motion.\n After a brief pause, return the hips to the bench.\n Repeat for the desired number of repetitions.\n
Reverse Hyperextension                                | Isolation | Hamstrings  | Machine       | Strength              | Beginner     | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place your feet between the pads after loading an appropriate weight. Lay on the top pad, allowing your hips to hang off the back, while grasping the handles to hold your position.\n To begin the movement, flex the hips, pulling the legs forward.\n Reverse the motion by extending the hips, kicking the leg back. It is very important not to over-extend the hip on this movement, stopping short of your full range of motion.\n Return by again flexing the hip, pulling the carriage forward as far as you can.\n Repeat for the desired number of repetitions.\n
Jerk Dip Squat                                        | Isolation | Quadriceps  | Barbell       | Olympic Weightlifting | Beginner     | 8   | Frankenstein Squat                            | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | This movement strengthens the dip portion of the jerk. Begin with the bar racked in the jerk position, with the shoulders forward to create a shelf and the bar lightly contacting the throat. The feet should be directly under the hips, with the feet turned out as is comfortable.\n Keeping the torso vertical, dip by flexing the knees, allowing them to travel forward and without moving the hips to the rear. The dip should not be excessive. Return the weight to the starting position by driving forcefully though the feet.\n
Kettlebell plyo push-up                               | Isolation | Chest       | Kettlebells   | Strength              | Intermediate | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place a kettlebell on the floor. Place yourself in a pushup position, on your toes with one hand on the ground and one hand holding the kettlebell, with your elbows extended. This will be your starting position.\n Begin by lowering yourself as low as you can, keeping your back straight.\n Quickly and forcefully reverse direction, pushing yourself up to the other side of the kettlebell, switching hands as you do so. Continue the movement by descending and repeating the movement back and forth.\n
Weighted Sit-Ups - With Bands                         | Isolation | Abdominals  | Other         | Strength              | Intermediate | 8   | Janda Sit-Up                                  | Sit-up                                                | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start out by strapping the bands around the base of the decline bench. Place the handles towards the inside of the decline bench so that when lying down, you can reach for both of them.\n Position your legs through the decline machine until they are secured. Now reach for the exercise bands with both hands. Use a pronated (palms forward) grip to grasp the handles. Position them near your collar bone and rotate your wrist to a neutral grip (palms facing the torso). Note: Your arms should remain stationary throughout the exercise. This is the starting position.\n Move your torso upward until your upper body is perpendicular to the floor while exhaling. Hold the contraction for a second and lower your upper body back down to the starting position while inhaling.\n Repeat for the recommended amount of repetitions.\n
Depth jump box jump                                   | Compound  | Quadriceps  | Body Only     | Plyometrics           | Intermediate | 8   | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | For this drill you will need two boxes or benches, one 12 to 16 inches high and the other 22 to 26 inches high.\n Stand on one of the two boxes with arms at the sides; feet should be together and slightly off the edge as in the depth jump. Place the other box approximately two or three feet in front of and facing the performer.\n Begin by dropping off the initial box, landing and simultaneously taking off with both feet.\n Rebound by driving upward and outward as intensely as possible, using the arms and full extension of the body to jump onto the higher box. Again, allow the legs to absorb the impact.\n
Bodyweight Walking Lunge                              | Compound  | Quadriceps  | Body Only     | Strength              | Intermediate | 8   | Alternating lunge jump                        | Single-leg glute bridge                               | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin standing with your feet shoulder width apart and your hands on your hips.\n Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee nearly touches the ground. Your posture should remain upright, and your front knee should stay above the front foot.\n Drive through the heel of your lead foot and extend both knees to raise yourself back up.\n Step forward with your rear foot, repeating the lunge on the opposite leg.\n
Lying Machine Squat                                   | Isolation | Quadriceps  | Machine       | Strength              | Intermediate | 8   | Hack Squat                                    | Leg Press                                             | Smith machine back squat                            | -                                       | -                             | -                        | -                        | -                   | -                     | Adjust the leg machine to a height that will allow you to get inside it with your knees bent and the thighs slightly below parallel.\n Once you select the weight, position yourself inside the machine face up with the knees bent and thighs slightly below parallel to the platform. Make sure that the knees do not go past the toes. The angle created between the hamstrings and the calves should be one that is slightly less than 90 degrees (since your starting position requires you to start slightly below parallel). Your back and your head should be resting on the machine while your shoulders are pressed under the shoulder pads.\n Place your hands by the handles and position your feet slightly pointing out at a shoulder width position. This will be your starting position.\n While pressing with the balls of the feet as you breathe out, make your whole body erect as you squeeze the quads. Hold the contracted position for a second. Tip: Since you are starting below parallel, you can opt to use your hands to help you up by pressing on your thighs only on the first repetition.\n Slowly squat down as you inhale but instead of going all the way down to the starting position, just stop once your thighs are parallel to the platform. The angle between your hamstrings and calves should be a 90-degree angle.\n Repeat for the recommended amount of repetitions.\n\nCaution: Keep your lower back and head pressed against the machine at all times.\n
Seated Leg Curl                                       | Isolation | Hamstrings  | Machine       | Strength              | Intermediate | 7.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Adjust the machine lever to fit your height and sit on the machine with your back against the back support pad.\n Place the back of lower leg on top of padded lever (just a few inches under the calves) and secure the lap pad against your thighs, just above the knees. Then grasp the side handles on the machine as you point your toes straight (or you can also use any of the other two stances) and ensure that the legs are fully straight right in front of you. This will be your starting position.\n As you exhale, pull the machine lever as far as possible to the back of your thighs by flexing at the knees. Keep your torso stationary at all times. Hold the contracted position for a second.\n Slowly return to the starting position as you breathe in.\n Repeat for the recommended amount of repetitions.\n\nCaution: Do not ever use so much weight on the exercise that you start using swinging and jerking as you can risk both lower back injury and also a hamstring tear.\n
Standing Barbell Press Behind Neck                    | Isolation | Shoulders   | Barbell       | Strength              | Intermediate | 7.9 | Bradford/Rocky Presses                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | This exercise is best performed inside a squat rack for easier pick up of the bar. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.\n Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.\n Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Your back should be kept straight while performing this exercise. This will be your starting position.\n Elevate the barbell overhead by fully extending your arms while breathing out.\n Hold the contraction for a second and lower the barbell back down to the starting position by inhaling.\n Repeat for the recommended amount of repetitions.\n\nCaution: Performing this exercise can cause serious injury if not performed properly. Make sure to keep your back straight when lowering and lifting the barbell.
Close-Grip EZ-Bar Curl with Band                      | Compound  | Biceps      | E-Z Curl Bar  | Strength              | Beginner     | 7.9 | Dumbbell Bicep Curl                           | Palms-out incline biceps curl                         | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Attach a band to each end of the bar. Take the bar, placing a foot on the middle of the band. Stand upright with a narrow, supinated grip on the EZ bar. The elbows should be close to the torso. This will be your starting position.\n While keeping the upper arms in place, flex the elbows to execute the curl. Exhale as the weight is lifted.\n Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard.\n Slowly begin to bring the bar back to starting position as your breathe in.\n Repeat for the recommended amount of repetitions.\n
Alternating Kettlebell Row                            | Compound  | Middle Back | Kettlebells   | Strength              | Intermediate | 7.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles.\n Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage.\n Lower the kettlebell in the working arm and repeat with your other arm.\n
Single-arm side lying rear fly                        | Compound  | Shoulders   | Dumbbell      | Strength              | Intermediate | 7.9 | Incline dumbbell reverse fly                  | Lying rear delt fly                                   | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | While holding a dumbbell in one hand, lay with your chest down on a flat bench. The other hand can be used to hold to the leg of the bench for stability.\n Position the palm of the hand that is holding the dumbbell in a neutral manner (palms facing your torso) as you keep the arm extended with the elbow slightly bent. This will be your starting position.\n Now raise the arm with the dumbbell to the side until your elbow is at shoulder height and your arm is roughly parallel to the floor as you exhale. Tip: Maintain your arm perpendicular to the torso while keeping your arm extended throughout the movement. Also, keep the contraction at the top for a second.\n Slowly lower the dumbbell to the starting position as you inhale.\n Repeat for the recommended amount of repetitions.\n
Cable shrug                                           | Compound  | Traps       | Cable         | Strength              | Intermediate | 7.9 | Smith machine upright row                     | Standing dumbbell shrug                               | Smith machine shrug                                 | -                                       | -                             | -                        | -                        | -                   | -                     | Grasp a cable bar attachment that is attached to a low pulley with a shoulder width or slightly wider overhand (palms facing down) grip.\n Stand erect close to the pulley with your arms extended in front of you holding the bar. This will be your starting position.\n Lift the bar by elevating the shoulders as high as possible as you exhale. Hold the contraction at the top for a second. Tip: The arms should remain extended at all times. Refrain from using the biceps to help lift the bar. Only the shoulders should be moving up and down.\n Lower the bar back to the original position.\n Repeat for the recommended amount of repetitions.\n
Pallof press with rotation                            | Compound  | Abdominals  | Cable         | Strength              | Intermediate | 7.9 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Connect a standard handle to a tower, and position the cable to shoulder height.\n With your side to the cable, grab the handle with one hand and step away from the tower. You should be approximately arm’s length away from the pulley, with the tension of the weight on the cable. Align outstretched arm with cable.\n With your feet positioned hip-width apart, pull the cable into your chest and grab the handle with your other hand. Both hands should be on the handle at this time.\n Facing forward, press the cable away from your chest. You core should be tight and engaged.\n Keeping your hips straight, twist your torso away from the pulley until you get a full quarter rotation.\n Maintain your rigid stance and straight arms. Return to the neutral position in a slow and controlled manner. Your arms should be extended in front of you.\n With the side tension still engaging your core, bring your hands to your chest and immediately press outward to a fully extended position. This constitutes one rep.\n Repeat to failure.\n Then, reposition and repeat the same series of movements on the opposite side.\n\nTip: The closer you keep your feet together, the greater the core activation. A wide base puts the pressure on your legs instead of your core.
Lying T-Bar Row                                       | Compound  | Middle Back | Other         | Strength              | Intermediate | 7.9 | Incline Bench Pull                            | Barbell seal row                                      | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Load up the T-bar Row Machine with the desired weight and adjust the leg height so that your upper chest is at the top of the pad. Tip: In some machines all you can do is stand on the appropriate step that allows you to be at a height that has the upper chest at the top of the pad.\n Lay face down on the pad and grab the handles. You can either use a palms down, palms up, or palms in position depending on what part of your back you want to emphasize.\n Lift the bar off the rack and extend your arms in front of you. This will be your starting position.\n As you exhale slowly pull the weight up and squeeze your back at the top of the movement. Tip: Keep the upper arms as close to the torso as possible throughout the movement in order to better engage the back muscles. Also, do not lift your body off of the pad at any time and refrain from using the biceps to lift the weight.\n After a second contraction at the top of the movement, as you inhale, slowly go back down to the starting position.\n Repeat for the recommended amount of repetitions.\n
